object,color,cand_idx,path,url,original_caption
dog,black,0,dog/black/cand_000.png,https://static3.bigstockphoto.com/2/8/1/large2/182026915.jpg,Black Dog Wear Superhero Costume with Mask
chair,white,0,chair/white/cand_000.png,https://images.unsplash.com/photo-1509952328734-7fe1ccd67ec8?ixlib=rb-1.2.1&amp;ixid=eyJhcHBfaWQiOjEyMDd9&amp;w=1000&amp;q=80,pair of black low-top Vans sneakers on white chair
dog,white,0,dog/white/cand_000.png,http://img.thrfun.com/img/071/109/reddish_brown_and_white_dog_s.jpg,Reddish brown and white dog with up curling tail.
frog,green,0,frog/green/cand_000.png,https://cdn.shopify.com/s/files/1/2440/6673/products/PSS901SFP_1_300x300.jpg?v=1550039303,Frugi Puddle Buster Suit - Samson Green Frog Pond
dog,black,1,dog/black/cand_001.png,"https://image.spreadshirtmedia.com/image-server/v1/products/1004440248/views/1,width=300,height=300,appearanceId=2,version=1473664654/black-dog-paw-in-red-heart-mens-premium-t-shirt.jpg",Black Dog Paw In Red Heart - Men's Premium T-Shirt
dog,white,1,dog/white/cand_001.png,https://images.pond5.com/white-dog-jumping-over-puddle-footage-083775968_iconm.jpeg,White dog is jumping over a puddle Stock Footage
dog,black,2,dog/black/cand_002.png,https://metalshopeu.vshcdn.net/images/produkty/thumb2/FFW028.JPG,"Bracelet Airbourne - Black Dog Barking - RAZAMATAZ, RAZAMATAZ, Airbourne"
frog,green,1,frog/green/cand_001.png,http://rlv.zcache.co.uk/green_frog_looking_confused_coffee_mug-r96009e3b7d6c4a53bbaa2f6cb577ab1a_x7j4n_8byvr_324.jpg,Green Frog. Looking confused. Coffee Mug
dog,white,2,dog/white/cand_002.png,https://clipground.com/images/animal-clipart-black-transparent.png,Dog black and white dog clipart black and white.
dog,brown,0,dog/brown/cand_000.png,https://static3.bigstockphoto.com/thumbs/7/9/9/large2/99717968.jpg,The Homeless Thai Brown Dog Sleeping
dog,white,3,dog/white/cand_003.png,https://cdn3.eyeem.com/thumb/591bae4a128a0d364ad55344879d2d9770bb020f-1560425309134/w/400,Waiting to pounce Black & White Dog Walking Iphone XR Springer Spaniel Dog Photography Mammal Sky One Animal Cloud - Sky Nature No People Plant Portrait Grass Outdoors Dog Canine
dog,black,3,dog/black/cand_003.png,http://cache2.artprintimages.com/p/MED/76/7601/SJHF300Z/art-print/ryan-fowler-black-dog-canoe.jpg,Black Dog Canoe
chair,white,1,chair/white/cand_001.png,http://1.bp.blogspot.com/-FZEFthFKRIc/Va8aW10GvEI/AAAAAAAAHco/BzHGJxMrrQM/s640/DSC_0365.JPG,"aloof gray, living room, sherwin williams, gray walls, gray paint, gallery wall, black frames, black gallery wall, vittsjo, shelves, book case, staged book case, gray sofa, tufted sofa, gold coffee table, white chair, nailhead, area rug, blue, turquoise"
dog,white,4,dog/white/cand_004.png,https://tomaszwagner.co/wp-content/uploads/2015/12/46-dreadlocked-white-dog-wedding.jpg,dreadlocked white dog at wedding
